Bairro,Rua,Qtd_Comércios_existentes,Indice_Fluxo_Pedestres,Renda_média_Familiar_R$,Coef_Concentration_Conc,Potencial_Delivery_Score,Score_Global_Final,Custo_Luvas_m2_R$,Aluguel_Mensal_m2_R$,Custo_Total_Ano1_R$,Indice_Rentabilidade_Imobi
Urca,Avenida João Luís Alves,10,69,11800,0.006,35,52,1550,110,157850,96
Gávea,Avenida Rodrigo Otávio,10,68,13200,0.0024,88,64,1550,110,157850,96
Gávea,Avenida Padre Leonel Franca,10,67,13200,0.006,45,54,1550,110,157850,96
Urca,Avenida Portugal,10,69,11800,0.006,35,52,1550,110,157850,96
São Conrado,Avenida Prefeito Mendes de Morais,10,67,11500,0.006,30,49,1550,110,157850,96
Gávea,Rua dos Oitis,10,56,13200,0.006,45,49,1450,100,145750,98
Humaitá,Rua Desembargador Burle,9,61,9100,0.0054,70,52,2850,190,282150,75
Leblon,Rua Carlos Gois,9,61,16500,0.0054,88,63,5000,330,492800,39
Flamengo,Rua Ministro Tavares de Lira,9,64,9200,0.0054,82,56,1850,140,194150,90
Copacabana,Avenida Rainha Elizabeth,9,67,8200,0.0042,90,58,2950,190,287650,74
Humaitá,Largo dos Leões,9,67,9100,0.0054,70,55,2950,190,287650,74
Jardim Botânico,Rua Von Martius,9,61,12500,0.0054,45,50,2850,190,282150,75
Leblon,Rua Aristides Espínola,9,59,16500,0.0054,88,62,5000,330,492800,39
Laranjeiras,Rua Ribeiro de Almeida,9,66,8500,0.0054,75,55,1850,140,194150,90
Copacabana,Duvivier,9,63,8200,0.0054,98,58,2900,190,284900,75
Catete,Rua Ministro Tavares de Lira,9,64,6900,0.0054,82,54,1500,100,148500,98
Copacabana,Rua Pompeu Loureiro,9,68,8200,0.0054,98,60,2950,190,287650,74
Copacabana,Rua Joaquim Nabuco,9,59,8200,0.0024,90,55,2850,180,275550,76
São Conrado,Estrada da Gávea,9,71,11500,0.0012,45,54,1550,110,157850,96
Urca,Rua Cândido Gaffrée,8,64,11800,0.0048,35,49,1500,100,148500,98
Urca,Rua Marechal Cantuária,8,67,11800,0.0048,35,50,1550,110,157850,96
Laranjeiras,Rua Cardoso Júnior,8,63,8500,0.0006,95,58,1850,140,194150,90
Jardim Botânico,Rua Visconde da Graça,8,62,12500,0.0048,45,51,2850,190,282150,75
Flamengo,Rua Barão de Icaraí,8,61,9200,0.0048,88,55,1800,130,184800,91
Catete,Rua Tavares Bastos,8,59,6900,0.0006,75,50,1450,100,145750,98
Glória,Rua Santo Amaro,8,63,6500,0.0048,50,46,1500,100,148500,98
Leblon,Rua General Artigas,8,61,16500,0.0048,88,63,5000,330,492800,39
Catete,Rua Gago Coutinho,8,61,6900,0.0048,82,52,1500,100,148500,98
Leblon,Rua José Linhares,8,61,16500,0.0048,88,63,5000,330,492800,39
Catete,Travessa Carlos de Sá,8,59,6900,0.0048,82,51,1450,100,145750,98
Copacabana,Praça Serzedelo Correia,8,55,8200,0.0048,98,54,2750,180,270050,77
Ipanema,João Saldanha,8,62,14800,0.0048,98,63,5050,330,495550,39
Copacabana,João Saldanha,8,62,8200,0.0048,98,57,2850,190,282150,75
Ipanema,Rua Redentor,8,61,14800,0.0048,90,61,5000,330,492800,39
Botafogo,Botafogo,8,78,9800,0.0048,95,65,3100,200,302500,72
Laranjeiras,Rua Pinheiro Machado,8,72,8500,0.0048,75,57,1900,140,196900,89
Laranjeiras,Rua Professor Ortiz Monteiro,8,62,8500,0.0048,75,53,1800,130,184800,91
Copacabana,Rua Conselheiro Lafaiete,8,55,8200,0.0006,90,53,2750,180,270050,77
Laranjeiras,Rua Conde de Baependi,8,66,8500,0.0024,88,57,1850,140,194150,90
Copacabana,Rua Leopoldo Miguez,8,55,8200,0.0048,98,54,2750,180,270050,77
Flamengo,Rua Tucuman,8,63,9200,0.0048,88,56,1850,140,194150,90
Catete,Praça José de Alencar,8,69,6900,0.0048,82,56,1550,110,157850,96
Botafogo,Praça Ozanan,8,65,9800,0.0048,95,59,2900,190,284900,75
Botafogo,Rua Bartolomeu Portela,7,54,9800,0.0042,95,54,2750,180,270050,77
Copacabana,Rua 5 de Julho,7,54,8200,0.0042,98,53,2750,180,270050,77
Ipanema,Avenida Rainha Elizabeth,7,66,14800,0.0042,90,63,5100,340,504900,37
Flamengo,Rua Barão do Flamengo,7,65,9200,0.0042,88,57,1850,140,194150,90
Botafogo,Largo Almirante Índio do Brasil,7,58,9800,0.0042,95,56,2800,180,272800,77
Humaitá,Rua Viúva Lacerda,7,58,9100,0.0042,70,50,2800,180,272800,77
Copacabana,Travessa Angrense,7,63,8200,0.0042,98,57,2900,190,284900,75
Copacabana,Rua Gomes Carneiro,7,61,8200,0.0042,98,56,2850,190,282150,75
Botafogo,Avenida Venceslau Braz,7,66,9800,0.0042,95,59,2900,190,284900,75
Laranjeiras,Praça São Salvador,7,61,8500,0.0042,75,52,1800,130,184800,91
Botafogo,Rua Marques,7,75,9800,0.0042,95,63,3050,190,293150,73
Copacabana,Rua Júlio de Castilhos,7,54,8200,0.0042,90,51,2750,180,270050,77
Ipanema,Rua Júlio de Castilhos,7,54,14800,0.0042,90,58,4900,320,480700,41
Copacabana,Ladeira dos Tabajaras,7,63,8200,0.0012,95,57,2900,190,284900,75
Jardim Botânico,Rua Maria Angélica,7,54,12500,0.0042,45,47,2750,180,270050,77
Ipanema,Rua Nascimento Silva,7,63,14800,0.0042,90,62,5050,330,495550,39
Botafogo,Rua Paulino Fernandes,7,66,9800,0.0042,95,59,2900,190,284900,75
Jardim Botânico,Rua Batista da Costa,7,60,12500,0.0042,45,49,2850,190,282150,75
Ipanema,Rua Bulhões de Carvalho,7,64,14800,0.0042,98,64,5100,330,498300,38
Copacabana,Rua Bulhões de Carvalho,7,64,8200,0.0042,98,57,2900,190,284900,75
Botafogo,Rua Dona Mariana,6,67,9800,0.0036,95,59,2950,190,287650,74
Humaitá,Rua General Dionísio,6,59,9100,0.0036,70,50,2850,180,275550,76
Leblon,Rua General Urquiza,6,63,16500,0.0036,88,63,5050,330,495550,39
Catete,Rua Governador Irineu Bornhausen,6,59,6900,0.0036,88,51,1450,100,145750,98
Gávea,Rua Jardim Botânico,6,68,13200,0.0036,45,53,1550,110,157850,96
Botafogo,Rua Henrique de Novais,6,59,9800,0.0036,95,56,2850,180,275550,76
Ipanema,Rua Francisco Sá,6,61,14800,0.0036,90,61,5000,330,492800,39
Botafogo,Rua Lauro Müller,6,72,9800,0.0036,95,62,3000,190,290400,74
Botafogo,Rua Marquês de Olinda,6,68,9800,0.0036,95,60,2950,190,287650,74
Humaitá,Rua Macedo Sobrinho,6,59,9100,0.0036,70,50,2850,180,275550,76
Laranjeiras,Rua Esteves Júnior,6,65,8500,0.0036,75,53,1850,140,194150,90
Laranjeiras,Rua Leite Leal,6,53,8500,0.0036,75,48,1750,130,182050,92
Flamengo,Rua Governador Irineu Bornhausen,6,59,9200,0.0036,88,54,1800,130,184800,91
Gávea,Rua José Roberto Macedo Soares,6,59,13200,0.0036,45,49,1450,100,145750,98
Botafogo,Rua Lacerda de Almeida,6,53,9800,0.0036,95,53,2750,180,270050,77
Catete,Rua Almirante Tamandaré,6,63,6900,0.0036,88,53,1500,100,148500,98
Glória,Ladeira da Glória,6,59,6500,0.0036,50,43,1450,100,145750,98
Leme,Avenida Nossa Senhora de Copacabana,6,76,7900,0.0006,90,61,3050,190,293150,73
Leblon,Rua Tubira,6,61,16500,0.0036,88,62,5000,330,492800,39
Copacabana,Praça Shimon Peres,6,61,8200,0.0036,98,56,2850,190,282150,75
Flamengo,Rua Almirante Tamandaré,6,63,9200,0.0036,88,56,1850,140,194150,90
Botafogo,Rua Teresa Guimarães,6,62,9800,0.0036,95,57,2850,190,282150,75
Leme,Rua Antônio Vieira,6,53,7900,0.0036,50,42,2750,180,270050,77
Copacabana,Rua Sousa Lima,6,59,8200,0.0036,98,55,2850,180,275550,76
Botafogo,Rua Assunção,6,59,9800,0.0036,95,56,2850,180,275550,76
Urca,Rua Ramon Franco,6,61,11800,0.0036,35,47,1500,100,148500,98
Laranjeiras,Largo Professor Saul Borges Carneiro,6,53,8500,0.0036,75,48,1750,130,182050,92
Botafogo,Travessa Visconde de Morais,6,61,9800,0.0036,95,57,2850,190,282150,75
Humaitá,Rua Visconde de Silva,6,66,9100,0.0024,95,58,2900,190,284900,75
Urca,Via Verde,5,52,11800,0.003,35,42,1400,100,143000,99
Catete,Escadaria do Morro Santo Amaro,5,52,6900,0.003,82,47,1400,100,143000,99
Ipanema,Rua Canning,5,52,14800,0.003,90,56,4850,320,477950,42
Ipanema,Largo do Millôr,5,52,14800,0.003,90,56,4850,320,477950,42
Botafogo,Rua Álvares Borgerth,5,60,9800,0.003,95,56,2850,190,282150,75
Leblon,Rua Adalberto Ferreira,5,60,16500,0.003,88,61,5000,330,492800,39
Botafogo,Rua Álvaro Ramos,5,52,9800,0.003,95,52,2750,180,270050,77
Copacabana,Travessa Frederico Pamplona,5,56,8200,0.003,98,53,2800,180,272800,77
Catete,Travessa Almirante Protogenes Guimarães,5,60,6900,0.003,82,50,1500,100,148500,98
Botafogo,Rua da Matriz,5,63,9800,0.003,95,57,2900,190,284900,75
Laranjeiras,Rua Soares Cabral,5,60,8500,0.003,75,50,1800,130,184800,91
Ipanema,Rua Raul Pompéia,5,64,14800,0.003,90,61,5100,330,498300,38
Copacabana,Rua Djalma Ulrich,5,52,8200,0.003,98,51,2750,180,270050,77
Flamengo,Rua Ferreira Viana,5,56,9200,0.003,82,51,1750,130,182050,92
Catete,Rua Ferreira Viana,5,56,6900,0.003,82,48,1450,100,145750,98
Leblon,Avenida Afrânio de Melo Franco,5,64,16500,0.003,88,63,5100,330,498300,38
Laranjeiras,Rua Engenheiro Moacir Reis,5,60,8500,0.003,75,50,1800,130,184800,91
Laranjeiras,Rua Erfurt,5,52,8500,0.003,75,47,1700,130,179300,92
Copacabana,Rua Edmundo Lins,5,52,8200,0.003,98,51,2750,180,270050,77
Flamengo,Rua Barão de Itambi,4,62,9200,0.0024,95,55,1800,130,184800,91
Copacabana,Rua Cinco de Julho,4,51,8200,0.0024,98,50,2700,180,267300,78
Copacabana,Rua Silva Castro,4,51,8200,0.0024,98,50,2700,180,267300,78
Copacabana,Rua Tenreiro Aranha,4,60,8200,0.0024,98,54,2850,190,282150,75
Leblon,Rua Rita Ludolf,4,55,16500,0.0024,88,58,4900,320,480700,41
Leblon,Avenida Rodrigo Otávio,4,63,16500,0.0024,88,62,5050,330,495550,39
Glória,Avenida Augusto Severo,4,65,6500,0.0024,50,45,1500,100,148500,98
Copacabana,Travessa Cristiano Lacorte,4,51,8200,0.0024,98,50,2700,180,267300,78
Botafogo,Travessa Pepe,4,60,9800,0.0024,95,55,2850,190,282150,75
Glória,Rua do Russel,4,64,6500,0.0024,50,45,1500,100,148500,98
Jardim Botânico,Rua Saturnino de Brito,4,55,12500,0.0024,45,46,2750,180,270050,77
Botafogo,Rua Barão de Itambi,4,62,9800,0.0024,95,56,2850,190,282150,75
Copacabana,Ronald de Carvalho,4,62,8200,0.0024,98,55,2850,190,282150,75
Jardim Botânico,Rua Alberto Ribeiro,4,51,12500,0.0024,45,44,2700,180,267300,78
Botafogo,Rua Visconde de Silva,4,64,9800,0.0024,95,57,2900,190,284900,75
Copacabana,Praça Vereador Rocha Leão,4,51,8200,0.0024,98,50,2700,180,267300,78
Leblon,Rua Almirante Guilhem,4,58,16500,0.0024,88,59,4950,330,490050,40
Jardim Botânico,Largo Otto Lara Resende,4,55,12500,0.0024,45,46,2750,180,270050,77
Botafogo,Rua Eduardo Guinle,4,58,9800,0.0024,95,54,2800,180,272800,77
Gávea,Rua Mary Pessoa,4,57,13200,0.0024,45,47,1450,100,145750,98
Copacabana,Rua Marechal Mascarenhas de Morais,4,51,8200,0.0024,98,50,2700,180,267300,78
Botafogo,Rua Marechal Niemeyer,4,51,9800,0.0024,95,51,2700,180,267300,78
Botafogo,Rua Oliveira Fausto,4,51,9800,0.0024,95,51,2700,180,267300,78
Leblon,Rua Mário Ribeiro,4,55,16500,0.0012,45,50,4900,320,480700,41
Flamengo,Rua Conde de Baependi,4,62,9200,0.0024,88,54,1800,130,184800,91
Leblon,Rua Cupertino Durão,4,57,16500,0.0024,88,59,4950,330,490050,40
Leblon,Rua Conde de Bernadote,4,51,16500,0.0024,88,56,4800,320,475200,42
Botafogo,Rua Professor Alfredo Gomes,4,62,9800,0.0024,95,56,2850,190,282150,75
Flamengo,Rua Paulo VI,4,60,9200,0.0006,75,51,1800,130,184800,91
Botafogo,Rua Rodrigo de Brito,4,51,9800,0.0024,95,51,2700,180,267300,78
Laranjeiras,Rua Professora Estelita Lins,4,57,8500,0.0024,75,48,1750,130,182050,92
Flamengo,Rua Desembargador Sady Gusmão,4,58,9200,0.0024,88,52,1800,130,184800,91
Copacabana,Rua Fernando Mendes,4,51,8200,0.0024,98,50,2700,180,267300,78
Jardim Botânico,Rua Faro,4,51,12500,0.0024,45,44,2700,180,267300,78
Copacabana,Rua Guimarães Natal,4,58,8200,0.0024,98,53,2800,180,272800,77
Flamengo,Rua Honório de Barros,4,51,9200,0.0024,88,49,1700,130,179300,92
Botafogo,Rua Ipu,4,57,9800,0.0024,95,54,2800,180,272800,77
Humaitá,Rua João Afonso,4,60,9100,0.0024,70,49,2850,190,282150,75
Botafogo,Rua General Góis Monteiro,4,57,9800,0.0024,95,54,2800,180,272800,77
Jardim Botânico,Rua General Garzon,4,51,12500,0.0024,45,44,2700,180,267300,78
Ipanema,Rua Joaquim Nabuco,4,55,14800,0.0024,90,57,4900,320,480700,41
Leblon,Rua Gilberto Cardoso,4,57,16500,0.0024,88,59,4950,330,490050,40
Glória,Avenida Beira-Mar,4,66,6500,0.0024,88,53,1550,100,151250,97
Flamengo,Avenida Beira-Mar,4,66,9200,0.0024,88,56,1850,140,194150,90
Ipanema,Avenida Francisco Bhering,4,51,14800,0.0024,90,55,4800,320,475200,42
Laranjeiras,"Rua das Laranjeiras, 336",4,71,8500,0.0024,75,55,1900,140,196900,89
Leblon,Rua Jerônimo Monteiro,3,50,16500,0.0018,88,55,4800,320,475200,42
Botafogo,Rua Hans Staden,3,53,9800,0.0018,95,51,2750,180,270050,77
Copacabana,Cardeal Arcoverde,3,62,8200,0.0018,98,54,2850,190,282150,75
São Conrado,Estrada do Joá,3,53,11500,0.0018,30,40,1400,100,143000,99
Leme,Rua Martim Afonso,3,57,7900,0.0018,50,42,2800,180,272800,77
Jardim Botânico,Rua Conde Afonso Celso,3,50,12500,0.0018,45,42,2700,180,267300,78
Laranjeiras,Rua Engenheiro Fernando Nascimento da Silva,3,53,8500,0.0018,75,46,1750,130,182050,92
Laranjeiras,Rua Pereira da Silva,3,55,8500,0.0018,75,47,1750,130,182050,92
Humaitá,Rua Conde de Irajá,3,62,9100,0.0018,70,49,2850,190,282150,75
Glória,Rua Cândido Mendes,3,57,6500,0.0018,50,41,1450,100,145750,98
São Conrado,Rua Embaixador Gabriel Landa,3,50,11500,0.0018,30,38,1400,100,143000,99
Leblon,Rua João Lira,3,50,16500,0.0018,88,55,4800,320,475200,42
Laranjeiras,Rua Eugênio Hussek,3,50,8500,0.0018,75,44,1700,130,179300,92
Laranjeiras,Travessa Euricles Mattos,3,53,8500,0.0018,75,46,1750,130,182050,92
Laranjeiras,Rua Álvaro Chaves,3,50,8500,0.0018,75,44,1700,130,179300,92
Copacabana,Praça Eugênio Jardim,3,58,8200,0.0018,98,52,2800,180,272800,77
Flamengo,Rua do Pinheiro,3,50,9200,0.0018,88,48,1700,130,179300,92
Glória,Rua Barão de Guaratiba,3,53,6500,0.0012,82,45,1400,100,143000,99
São Conrado,Rua São Leobaldo,3,53,11500,0.0018,30,40,1400,100,143000,99
Jardim Botânico,Rua Barao de Oliveira Castro,3,55,12500,0.0018,45,45,2750,180,270050,77
Copacabana,Rua Assis Brasil,3,57,8200,0.0018,98,52,2800,180,272800,77
Copacabana,Rua Anita Garibaldi,3,50,8200,0.0018,98,49,2700,180,267300,78
Leblon,Rua Almirante Pereira Guimarães,3,55,16500,0.0018,88,57,4900,320,480700,41
Copacabana,Rua Carvalho de Mendonça,3,53,8200,0.0018,98,50,2750,180,270050,77
Humaitá,Rua Cesário Alvim,3,50,9100,0.0018,70,44,2700,180,267300,78
Gávea,Rua Artur Araripe,3,55,13200,0.0018,45,45,1450,100,145750,98
Gávea,Rua Professor Manoel Ferreira,3,53,13200,0.0018,45,45,1400,100,143000,99
Leblon,Rua Professor Azevedo Marques,3,57,16500,0.0018,88,58,4950,330,490050,40
Botafogo,Rua Capistrano de Abreu,3,58,9800,0.0012,70,48,2800,180,272800,77
Ipanema,Rua Paul Redfern,3,50,14800,0.0018,90,54,4800,320,475200,42
Botafogo,Passagem Paulo Roberto Lopes Lima,3,59,9800,0.0018,95,54,2850,180,275550,76
Ipanema,Rua Alberto de Campos,3,50,14800,0.0018,90,54,4800,320,475200,42
Urca,Praça dos Bondes,3,50,11800,0.0018,35,40,1400,100,143000,99
Humaitá,Rua Vitório da Costa,3,58,9100,0.0018,70,48,2800,180,272800,77
Botafogo,Rua São Manuel,3,53,9800,0.0018,95,51,2750,180,270050,77
Laranjeiras,Rua Coelho Neto,2,51,8500,0.0012,75,44,1700,130,179300,92
Botafogo,Rua Doutor Sampaio Corrêa,2,48,9800,0.0012,95,48,2650,180,264550,78
Botafogo,Rua Doutor Xavier Sigaud,2,59,9800,0.0012,35,41,2850,180,275550,76
Humaitá,Rua Maria Eugênia,2,53,9100,0.0012,70,44,2750,180,270050,77
Gávea,Rua General Rabelo,2,51,13200,0.0012,45,43,1400,100,143000,99
Leme,Rua Mário de Carvalho,2,53,7900,0.0012,50,39,2750,180,270050,77
Gávea,Estrada da Gávea,2,63,13200,0.0012,45,48,1500,100,148500,98
Flamengo,Avenida Infante Dom Henrique,2,57,9200,0.0012,95,51,1750,130,182050,92
Botafogo,Avenida Infante Dom Henrique,2,57,9800,0.0012,95,52,2800,180,272800,77
Botafogo,Avenida Lauro Sodré,2,63,9800,0.0012,95,55,2900,190,284900,75
Copacabana,Rua Sá Ferreira,2,57,8200,0.0012,98,51,2800,180,272800,77
Leme,Rua São Jorge,2,48,7900,0.0012,50,37,2650,180,264550,78
Jardim Botânico,Rua Abreu Fialho,2,53,12500,0.0012,45,43,2750,180,270050,77
Ipanema,Praça Professor José Acioli,2,48,14800,0.0012,90,52,4750,320,472450,43
Flamengo,Avenida Rui Barbosa,2,61,9200,0.0006,95,53,1800,130,184800,91
Copacabana,Rua Saint Roman,2,56,8200,0.0012,98,50,2800,180,272800,77
Leme,Rua Aurelino Leal,2,48,7900,0.0012,50,37,2650,180,264550,78
Botafogo,Rua Paulo VI,2,56,9800,0.0006,75,48,2800,180,272800,77
Copacabana,Rua Otaviano Hudson,2,57,8200,0.0012,98,51,2800,180,272800,77
Jardim Botânico,Rua Caminhoá,2,48,12500,0.0012,45,41,2650,180,264550,78
Leblon,Rua Professor Arthur Ramos,2,48,16500,0.0012,88,53,4750,320,472450,43
Copacabana,Belfort Roxo,2,60,8200,0.0012,98,52,2850,190,282150,75
Botafogo,Rua Diniz Cordeiro,2,48,9800,0.0012,95,48,2650,180,264550,78
Gávea,Rua Mário Ribeiro,2,51,13200,0.0012,45,43,1400,100,143000,99
Botafogo,Rua Natal,2,51,9800,0.0012,95,49,2700,180,267300,78
Botafogo,Ladeira dos Tabajaras,2,56,9800,0.0012,95,51,2800,180,272800,77
Botafogo,Rua Ministro Raul Fernandes,2,51,9800,0.0012,95,49,2700,180,267300,78
Botafogo,Rua Marechal Ramon Castilla,2,53,9800,0.0012,95,50,2750,180,270050,77
Copacabana,Rua Gustavo Sampaio,2,56,8200,0.0012,98,50,2800,180,272800,77
Copacabana,Rua General Barbosa Lima,2,53,8200,0.0012,98,49,2750,180,270050,77
São Conrado,Rua General Olympio Mourão Filho,2,55,11500,0.0012,30,40,1450,100,145750,98
Leblon,Rua Juquiá,2,48,16500,0.0012,88,53,4750,320,472450,43
Copacabana,Rua Joseph Bloch,2,48,8200,0.0012,98,47,2650,180,264550,78
Urca,Rua Doutor Xavier Sigaud,2,59,11800,0.0012,35,43,1450,100,145750,98
Glória,Travessa do Outeiro da Glória,2,51,6500,0.0012,50,37,1400,100,143000,99
São Conrado,Autoestrada Engenheiro Fernando Mac Dowell,2,66,11500,0.0012,30,45,1550,100,151250,97
Gávea,Avenida Bartolomeu Mitre,2,63,13200,0.0012,45,48,1500,100,148500,98
Leblon,Avenida Borges de Medeiros,2,57,16500,0.0012,88,57,4950,330,490050,40
Leblon,Rua Leblon,2,48,16500,0.0012,88,53,4750,320,472450,43
Urca,Rua Joaquim Caetano,2,53,11800,0.0012,35,40,1400,100,143000,99
Glória,Acesso ao Teatro TotalEnergies,2,53,6500,0.0012,50,38,1400,100,143000,99
Jardim Botânico,Rua Marquês de Sabará,2,58,12500,0.0012,45,45,2800,180,272800,77
Glória,Largo da Glória,2,59,6500,0.0012,50,41,1450,100,145750,98
Urca,Praça Tenente Gil Guilherme,2,48,11800,0.0012,35,38,1400,100,143000,99
Catete,Rua Barão de Guaratiba,2,51,6900,0.0012,82,44,1400,100,143000,99
Botafogo,Avenida Repórter Nestor Moreira,2,53,9800,0.0012,95,50,2750,180,270050,77
Gávea,Rua das Acácias,2,48,13200,0.0012,45,41,1400,100,143000,99
Botafogo,Rua Assis Bueno,2,51,9800,0.0012,95,49,2700,180,267300,78
