Bairro,Rua,Qtd_Comércios_existentes,Indice_Fluxo_Pedestres,Renda_média_Familiar_R$,Coef_Concentration_Conc,Potencial_Delivery_Score,Score_Global_Final,Custo_Luvas_m2_R$,Aluguel_Mensal_m2_R$,Custo_Total_Ano1_R$,Indice_Rentabilidade_Imobi
Catete / Flamengo / Glória,Rua do Catete,312,99,9200,0.1872,93,76,2200,150,220000,86
Botafogo / Humaitá,Rua Voluntários da Pátria,231,96,9800,0.1386,99,78,3350,200,316250,69
Catete / Laranjeiras,Rua das Laranjeiras,209,96,8500,0.1254,85,74,2150,150,217250,86
Botafogo / Flamengo,Rua Marquês de Abrantes,178,88,9800,0.1068,98,75,3250,200,310750,70
Copacabana / Ipanema / Leme,Avenida Nossa Senhora de Copacabana,160,94,14800,0.096,99,83,5700,360,551100,30
Copacabana / Leme,Avenida Atlântica,156,87,8200,0.0936,99,73,3200,200,308000,71
Ipanema,Rua Visconde de Pirajá,154,91,14800,0.0924,92,80,5600,360,545600,31
Copacabana,Rua Barata Ribeiro,152,87,8200,0.0912,99,73,3200,200,308000,71
Botafogo / Flamengo,Rua Senador Vergueiro,121,82,9800,0.0726,97,72,3150,200,305250,71
Botafogo,Praia de Botafogo,110,91,9800,0.066,97,77,3250,200,310750,70
Catete / Flamengo / Glória,Rua Silveira Martins,100,83,9200,0.06,90,71,2050,140,205150,88
Catete / Flamengo,Rua Dois de Dezembro,81,77,9200,0.0486,89,68,1950,140,199650,89
Humaitá,Rua Humaitá,79,87,9100,0.0474,71,69,3200,200,308000,71
Catete,Largo do Machado,69,96,6900,0.0414,83,73,4150,250,393250,57
Copacabana,Avenida Prado Júnior,69,79,8200,0.0414,99,70,3100,200,302500,72
Leblon,Avenida Ataulfo de Paiva,65,86,16500,0.039,89,79,5500,350,533500,33
Copacabana,Rua Siqueira Campos,65,96,8200,0.039,99,77,3350,200,316250,69
Gávea / Jardim Botânico,Rua Jardim Botânico,62,81,13200,0.0372,46,65,3150,200,305250,71
Botafogo / Urca,Avenida Pasteur,60,89,11800,0.036,96,77,3250,200,310750,70
Jardim Botânico,Rua Pacheco Leão,58,86,12500,0.0348,46,66,3200,200,308000,71
Catete / Flamengo,Rua Machado de Assis,58,79,9200,0.0348,89,68,2000,140,202400,89
Ipanema,Rua Teixeira de Melo,54,77,14800,0.0324,91,73,5350,350,525250,34
Laranjeiras,Ciclofaixa Rua das Laranjeiras,54,86,8500,0.0324,76,68,2050,140,205150,88
Botafogo / Humaitá,Rua São Clemente,52,83,9800,0.0312,96,72,3150,200,305250,71
Flamengo / Glória,Praia do Flamengo,52,87,9200,0.0312,89,72,2050,140,205150,88
Ipanema,Avenida Vieira Souto,50,75,14800,0.03,91,72,5300,340,515900,36
